Rule_ID,Rule_Name,Apartment_ID,Description,Conflict_Type,Status,Reasoning,,,,,,
R_A40_EN_4,Night Lock Down,A40,Ensures door is locked at night - conflict with smoke unlock if smoke happens at night.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A41_OF_1,Work Hours Lights On,A41,Turns on office light during work hours.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A41_OF_2,Motion Monitor Wake,A41,Powers on the monitor when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A41_OF_3,Work Hours Air Purifier,A41,Runs air purifier during work hours.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A42_LR_1,Scheduled Vacuum Cleanup,A42,Runs robot vacuum on schedule when away.,Physical,Conflicted,,,,,,,
R_A42_LR_2,Away Motion Alarm,A42,Triggers alarm when motion detected while away - physical conflict with vacuum movement triggering false alarm.,Physical,Conflicted,"When R_A42_LR_1 and R_A42_LR_2 run together while away, the vacuum movement triggers the motion sensor, which fires the alarm — an unintended physical chain conflict.",,,,,,
R_A42_LR_3,Away Pet Door Lock,A42,Locks pet door when away to prevent intrusion - physical conflict with pet wanting to come in causing motion that triggers alarm.,Physical,Conflicted,,,,,,,
R_A43_GR_1,Garage Motion Light,A43,Turns on garage light when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A43_GR_2,Garage Door Open Light,A43,Turns on garage light when garage door opens.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A44_KT_1,Smoke Open Window,A44,Opens kitchen window when smoke is detected for ventilation.,Logical,Conflicted,,,,,,,
R_A44_KT_2,Away Window Close,A44,Closes kitchen window when away for security - logical conflict with smoke open if smoke happens while away.,Logical,Conflicted,,,,,,,
R_A44_KT_3,Smoke Stove Off,A44,Turns off stove when smoke is detected for safety.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A44_KT_4,Smoke Alarm Activate,A44,Activates kitchen alarm when smoke detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A45_LR_1,Daylight Open Blinds,A45,Opens blinds when natural light level is high.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A45_LR_2,Dim Light Lamp On,A45,Turns on lamp when natural light is dim.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A46_LR_1,Hot Open Window Cooling,A46,Opens window when temperature is high to cool naturally.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A46_LR_2,High Pollen Close Window,A46,Closes window when pollen level is high to protect allergic occupants - logical conflict with cooling rule.,Logical,Conflicted,"When R_A46_LR_1 and R_A46_LR_2 fire together (high temp + high pollen), both target the same window state with opposing OPEN/CLOSE actions.",,,,,,
R_A46_LR_3,Hot Temperature AC On,A46,Turns on AC when temperature is high - physical conflict with open window cooling rule.,Logical,Conflicted,"When R_A46_LR_1 and R_A46_LR_3 fire together (high temp opens window while AC runs), AC operates with window open, creating an energy-wasting physical conflict.",,,,,,
R_A47_LR_1,Scheduled Pet Feeding,A47,Dispenses pet food at scheduled feeding time.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A47_LR_2,Always On Pet Fountain,A47,Keeps water fountain running at all times.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A47_LR_3,Away Pet Camera On,A47,Powers on pet camera when away to monitor pet remotely.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A48_BR_1,Cold Heater On,A48,Turns on heater when temperature drops below 19 degrees.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A48_BR_2,High CO2 Open Window,A48,Opens window when CO2 is high - physical conflict with heater wasting energy through open window.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A48_BR_3,Cold Boost Heater,A48,Boosts heater when window is open and temperature still drops - physical conflict creating heating loop.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A49_LR_1,Party Mode Music,A49,Plays party music on smart speaker.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A49_LR_2,Party Mode Bright Lights,A49,Turns on lights bright in party mode.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A49_LR_3,Relax Mode Music,A49,Plays relaxing music on smart speaker.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A50_BR_1,Motion Bedroom Light,A50,Turns on bedroom light when motion is detected.,Logical,Conflicted,,,,,,,
R_A50_BR_2,Sleep Mode Lights Off,A50,Turns off bedroom lights in sleep mode - logical conflict if user moves at night.,Logical,Conflicted,,,,,,,
R_A50_BR_3,Motion Wake Speaker,A50,Plays announcement on speaker when motion detected - conflict with sleep mode disturbing sleep.,Logical,Conflicted,,,,,,,
R_A51_LD_1,Leak Detection Stop Water,A51,Closes water valve when leak is detected to prevent flooding.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A51_LD_2,Leak Stop Washer,A51,Stops washing machine when leak detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A51_LD_3,Washer Done Start Dryer,A51,Starts dryer when washer finishes its cycle.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A52_LR_1,Away Eco Mode Thermostat,A52,Sets thermostat to eco mode when away.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A52_BR_1,Bedtime Bedroom Comfort,A52,Sets bedroom thermostat to comfort temp at bedtime.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A52_LR_2,Motion Living Room Comfort,A52,Sets living room thermostat to comfort when motion detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A53_OF_1,Meeting Mute Speaker,A53,Mutes speaker during meetings to avoid interruption.,Logical,Conflicted,,,,,,,
R_A53_OF_2,Doorbell Loud Alert,A53,Plays loud alert via speaker when doorbell rings - logical conflict with mute during meeting.,Logical,Conflicted,,,,,,,
R_A53_OF_3,Doorbell Notification,A53,Sends notification when doorbell rings.,Logical,Conflicted,,,,,,,
R_A54_KT_1,Fridge Door Open Alert,A54,Sends notification when fridge door is left open too long.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A54_KT_2,Fridge Temp High Alert,A54,Sends notification when fridge temperature exceeds safe level.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A54_KT_3,Fridge Door Open Light,A54,Turns on kitchen light when fridge door is opened.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A55_LR_1,Away Camera On,A55,Powers on camera while away.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A55_LR_2,Motion Auto Light,A55,Turns on light when motion detected for visibility.,Logical,Conflicted,"When R_A55_LR_1 and R_A55_LR_2 fire together (away mode active + light turns on), both target the same camera power state with opposing ON/OFF actions.",,,,,,
R_A55_LR_3,Camera Energy Saving Off,A55,Turns off camera when light is on to save energy - logical conflict with away surveillance.,Logical,Conflicted,,,,,,,
R_A56_BR_1,Bed Occupied Lights Off,A56,Turns off bedroom light when person gets in bed.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A56_BR_2,Bed Occupied Door Lock,A56,Locks bedroom door when person is in bed.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A57_NR_1,Cold Heater On,A57,Turns on nursery heater when temperature is low.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A57_NR_2,Hot Fan On,A57,Turns on fan when temperature exceeds 24 - semantic conflict with heater via EVar.,Semantic,Conflicted,,,,,,,
R_A57_NR_3,Always On Humidifier,A57,Keeps humidifier on for baby comfort - semantic conflict with heater because humidifier slightly affects EVar temperature.,Semantic,Conflicted,"When R_A57_NR_1 and R_A57_NR_2 fire together via shared temperature EVar, heater raises EVar temp which immediately triggers fan — heater and fan fight over room temperature through the shared EVar.",,,,,,
R_A57_NR_4,Heater On Disable Fan,A57,Turns off fan when heater is on - logical conflict if temperature crosses both thresholds.,Semantic,Conflicted,"When R_A57_NR_1, R_A57_NR_2, and R_A57_NR_4 all interact via the shared EVar, the humidifier is also indirectly triggered, creating a three-way semantic conflict over the shared environmental variable.",,,,,,
R_A58_BA_1,Morning Towel Warmer,A58,Turns on towel warmer in the morning.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A58_BA_2,Motion Pre Heat Shower,A58,Pre-heats shower water when motion detected in morning.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A59_LR_1,Daylight Open Blinds,A59,Opens blinds when daylight is sufficient for natural lighting.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A59_LR_2,Hot Day Close Blinds,A59,Closes blinds when temperature is too hot to keep room cool - logical conflict with daylight rule.,Logical,Conflicted,"When R_A59_LR_1 and R_A59_LR_2 fire together (daylight + high temp), both target the same blind position state with opposing OPEN/CLOSE actions.",,,,,,
R_A59_LR_3,Privacy Mode Close Blinds,A59,Closes blinds when privacy mode is enabled - additional logical conflict.,Logical,Conflicted,"When R_A59_LR_1 and R_A59_LR_3 fire together (daylight + privacy mode active), both target the same blind position state with opposing OPEN/CLOSE actions.",,,,,,
R_A60_EN_1,Doorbell Light On,A60,Turns on entrance light when doorbell is pressed.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A60_EN_2,Doorbell Camera Record,A60,Starts recording when doorbell is pressed.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A61_LR_1,Dim Ambient Brighten Light,A61,Sets light to bright level when ambient is dim.,Logical,Conflicted,,,,,,,
R_A61_LR_2,Movie Mode Dim Light,A61,Sets light to dim level for movie watching - logical conflict with brightness rule when ambient is dim during movie.,Logical,Conflicted,"When R_A61_LR_1 and R_A61_LR_2 fire together (low ambient light during movie mode), both target the same dimmer level with opposing BRIGHT/DIM actions.",,,,,,
R_A61_LR_3,Movie Mode TV On,A61,Turns on TV in movie mode.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A62_LR_1,CO Detected Alarm,A62,Triggers alarm when CO is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A62_LR_2,CO Detected Open Window,A62,Opens window for ventilation when CO detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A62_LR_3,CO Detected Notify,A62,Sends notification when CO is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A63_LR_1,Fall Detection Emergency Light,A63,Turns on the emergency light when a fall is detected in the living room.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A63_LR_2,Fall Detection Notify,A63,Sends an emergency notification when a fall is detected in the living room.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A63_BR_1,Morning Medication Dispense,A63,Dispenses scheduled morning medication from the bedroom dispenser.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A64_GH_1,Low Moisture Watering,A64,Turns on the greenhouse water pump when soil moisture drops below threshold.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A64_GH_2,Low Light Growlight On,A64,Turns on the grow light when ambient lux falls below the photosynthesis threshold.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A64_GH_3,Bright Light Growlight Off,A64,Turns off the grow light when ambient lux is sufficiently high to save energy.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A65_DR_1,Dinner Ambience Light,A65,Sets dining room light to warm dim level when dinner time begins.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A65_DR_2,Dinner Music,A65,Plays dinner background music at moderate volume.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A65_DR_3,Dining Motion Greet,A65,Brightens the dining room light to a welcoming level when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A66_GM_1,Workout Motion Light,A66,Turns on the gym light when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A66_GM_2,Workout Cooling Fan,A66,Turns on the gym ceiling fan when motion is detected during a workout session.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A67_GR_1,Guest Welcome Light,A67,Turns on the guest room light when the door is opened in guest mode.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A67_GR_2,Guest Comfort Setpoint,A67,Sets a comfortable temperature in the guest room when guest mode is active.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A68_LR_1,Night Schedule Eco Setpoint,A68,Sets thermostat to an eco setpoint of 18C during the night schedule. Logical conflict with occupancy override which sets a higher setpoint.,Logical,Conflicted,,,,,,,
R_A68_LR_2,Occupancy Comfort Setpoint,A68,Sets thermostat to a comfortable 22C when the living room is occupied. Logical conflict with the night eco schedule which assigns a different value to the same setpoint.,Logical,Conflicted,"When R_A68_LR_1 and R_A68_LR_2 fire together (room occupied during night schedule), both target the same thermostat setpoint state with opposing SET_18/SET_22 actions.",,,,,,
R_A68_LR_3,Occupancy Heater Boost,A68,"Turns on the supplemental space heater when the living room is occupied at night, creating a physical conflict where both heater and thermostat compete to drive room temperature.",Logical,Conflicted,"When R_A68_LR_2 and R_A68_LR_3 fire together (occupied at night), the space heater activates alongside the thermostat, creating a physical conflict where two heating devices compete over room temperature control.",,,,,,
R_A69_BR_1,Idle High Draw Plug Detection,A69,Marks high-draw plugs as idle when no bedroom motion is detected after midnight.,Semantic,Conflicted,Conflicts with R_A69_BR_2 because lack of motion can falsely mark the oxygen concentrator plug as idle.,,,,,,
R_A69_BR_2,Midnight Energy Saving Plug Cutoff,A69,Turns off idle high-draw plugs during energy-saving mode after midnight.,Semantic,Conflicted,Conflicts with R_A69_BR_1 because turning off the plug disables oxygen flow for a medical device.,,,,,,
R_A70_ENT_1,Smoke Emergency Unlock,A70,Unlocks all entrance locks when smoke is detected for emergency evacuation.,None,Clean,No conflict detected; supports emergency evacuation.,,,,,,
R_A70_SAFE_1 ,Safe Evacuation Lighting,A70,Turns on interior lighting and unlocks balcony access during emergency mode,None,Clean,No conflict detected; supports safe evacuation during smoke emergency.,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
